,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
RGI60-08.00847,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98000.0,98565.914
RGI60-08.00848,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,241760.88
RGI60-08.00849,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,547000.0,546271.2
RGI60-08.00850,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,631000.0,629461.25
RGI60-08.00851,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258000.0,258148.7
RGI60-08.00852,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,428000.0,427263.34
RGI60-08.00853,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115360.86
RGI60-08.00854,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,675000.0,674456.7
RGI60-08.00855,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,754000.0,753636.06
RGI60-08.00856,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,179000.0,178639.97
RGI60-08.00857,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,181000.0,180962.84
RGI60-08.00858,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,109126.836
RGI60-08.00859,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,102880.68
RGI60-08.00860,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4482000.0,4472942.5
